,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
221921,C556293,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-18,2011-06-10 09:30:00,2.95,13094.0,United Kingdom
227626,C556888,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-06-15 12:37:00,2.95,15005.0,United Kingdom
256312,C559486,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-07-08 13:51:00,2.95,13047.0,United Kingdom
268309,C560409,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-6,2011-07-18 14:24:00,2.95,16717.0,United Kingdom
287972,C562124,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-3,2011-08-02 17:23:00,2.55,13081.0,United Kingdom
294279,C562709,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-08-08 14:32:00,2.55,17511.0,United Kingdom
297938,C562961,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-6,2011-08-11 10:24:00,2.95,14305.0,United Kingdom
303758,C563553,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-08-17 13:14:00,2.95,16755.0,United Kingdom
323021,C565237,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-8,2011-09-02 09:47:00,2.95,14299.0,United Kingdom
337783,C566471,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-09-12 18:18:00,2.95,16670.0,United Kingdom
347936,C567348,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-09-19 15:57:00,2.95,15755.0,United Kingdom
353159,C567767,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-12,2011-09-22 10:58:00,2.95,17460.0,United Kingdom
377444,C569548,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-10-04 17:31:00,2.95,18053.0,United Kingdom
407299,C571856,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-10-19 13:37:00,2.95,17063.0,United Kingdom
456831,575722,85123A,wrongly marked carton 22804,-256,2011-11-10 18:20:00,0.0,nan,United Kingdom
465284,C576216,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-3,2011-11-14 12:56:00,2.95,12584.0,Italy
465522,C576243,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-11-14 13:38:00,2.55,15953.0,United Kingdom
484968,C577547,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-11-20 14:48:00,2.95,17841.0,United Kingdom
514940,C579752,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-11-30 14:46:00,2.55,13777.0,United Kingdom
530085,C580805,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-12-06 11:23:00,2.95,16764.0,United Kingdom
29256,C538720,71053,WHITE METAL LANTERN,-4,2010-12-14 11:11:00,3.75,17526.0,United Kingdom
47128,C540380,71053,WHITE METAL LANTERN,-5,2011-01-06 17:36:00,3.75,16094.0,United Kingdom
146583,C548995,71053,WHITE METAL LANTERN,-1,2011-04-05 14:08:00,3.75,17841.0,United Kingdom
184595,C552701,71053,WHITE METAL LANTERN,-1,2011-05-10 15:58:00,3.75,16094.0,United Kingdom
211307,C555361,71053,WHITE METAL LANTERN,-1,2011-06-02 14:12:00,3.75,13308.0,United Kingdom
243154,C558422,71053,WHITE METAL LANTERN,-16,2011-06-29 11:54:00,3.39,16779.0,United Kingdom
263929,C560045,71053,WHITE METAL LANTERN,-2,2011-07-14 14:51:00,3.39,16779.0,United Kingdom
382993,C569985,71053,WHITE METAL LANTERN,-8,2011-10-06 19:51:00,3.75,15365.0,United Kingdom
395109,C571003,71053,WHITE METAL LANTERN,-1,2011-10-13 12:04:00,3.75,15801.0,United Kingdom
19430,C537860,84406B,CREAM CUPID HEARTS COAT HANGER,-8,2010-12-08 16:15:00,3.25,16252.0,United Kingdom
38414,C539565,84406B,CREAM CUPID HEARTS COAT HANGER,-3,2010-12-20 11:56:00,2.75,14113.0,United Kingdom
87218,C543644,84406B,CREAM CUPID HEARTS COAT HANGER,-2,2011-02-10 17:50:00,4.15,17609.0,United Kingdom
89118,543827,84406B,incorrectly made-thrown away.,-64,2011-02-14 09:44:00,0.0,nan,United Kingdom
128467,547339,84406B,missing,-450,2011-03-22 11:51:00,0.0,nan,United Kingdom
141937,C548532,84406B,CREAM CUPID HEARTS COAT HANGER,-24,2011-03-31 17:16:00,4.15,14031.0,United Kingdom
178012,552218,84406B,missing,-38,2011-05-06 15:15:00,0.0,nan,United Kingdom
394932,C570889,84406B,CREAM CUPID HEARTS COAT HANGER,-4,2011-10-13 10:49:00,4.15,13954.0,United Kingdom
410571,C572112,84406B,CREAM CUPID HEARTS COAT HANGER,-1,2011-10-20 19:13:00,3.75,14113.0,United Kingdom
329642,C565848,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-1,2011-09-07 12:48:00,4.25,14606.0,United Kingdom
352811,C567691,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-3,2011-09-21 17:04:00,3.75,17567.0,United Kingdom
387466,C570290,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-8,2011-10-10 11:54:00,4.25,14665.0,United Kingdom
455574,C575630,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-2,2011-11-10 13:35:00,4.25,15830.0,United Kingdom
52379,540778,84029E,missing,-50,2011-01-11 11:15:00,0.0,nan,United Kingdom
52415,C540783,84029E,RED WOOLLY HOTTIE WHITE HEART.,-8,2011-01-11 11:38:00,3.75,17629.0,United Kingdom
243519,C558463,84029E,RED WOOLLY HOTTIE WHITE HEART.,-1,2011-06-29 15:14:00,3.95,13982.0,United Kingdom
269195,560440,84029E,missing,-1,2011-07-18 16:36:00,0.0,nan,United Kingdom
329640,C565848,84029E,RED WOOLLY HOTTIE WHITE HEART.,-1,2011-09-07 12:48:00,4.25,14606.0,United Kingdom
387467,C570290,84029E,RED WOOLLY HOTTIE WHITE HEART.,-8,2011-10-10 11:54:00,4.25,14665.0,United Kingdom
410572,C572113,84029E,RED WOOLLY HOTTIE WHITE HEART.,-1,2011-10-20 19:14:00,4.25,15179.0,United Kingdom
492201,C578097,84029E,RED WOOLLY HOTTIE WHITE HEART.,-48,2011-11-22 17:31:00,3.75,nan,United Kingdom
3338,C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,2010-12-02 10:37:00,8.5,12471.0,Germany
24166,C538341,22752,SET 7 BABUSHKA NESTING BOXES,-96,2010-12-10 14:03:00,7.65,15514.0,United Kingdom
74440,C542426,22752,SET 7 BABUSHKA NESTING BOXES,-24,2011-01-28 09:32:00,7.65,14146.0,United Kingdom
87597,C543661,22752,SET 7 BABUSHKA NESTING BOXES,-1,2011-02-11 10:41:00,8.5,12471.0,Germany
125521,C547043,22752,SET 7 BABUSHKA NESTING BOXES,-1,2011-03-20 11:19:00,8.5,16156.0,United Kingdom
18233,C537807,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-3,2010-12-08 13:23:00,4.95,13495.0,United Kingdom
32369,C539054,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-3,2010-12-15 16:34:00,4.95,17044.0,United Kingdom
75380,C542588,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-2,2011-01-28 15:57:00,4.95,12997.0,United Kingdom
86893,C543611,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-1,2011-02-10 14:38:00,4.25,17850.0,United Kingdom
86894,C543611,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-1,2011-02-10 14:38:00,4.95,17850.0,United Kingdom
94588,C544397,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-1,2011-02-18 12:21:00,4.95,12462.0,Spain
267595,C560317,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-1,2011-07-18 10:54:00,4.95,15527.0,United Kingdom
353005,C567714,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-1,2011-09-22 10:11:00,4.95,16316.0,United Kingdom
516776,C579948,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-1,2011-12-01 10:56:00,4.95,16376.0,United Kingdom
21468,C538083,22633,HAND WARMER UNION JACK,-4,2010-12-09 14:40:00,2.1,15750.0,United Kingdom
21748,C538119,22633,HAND WARMER UNION JACK,-1,2010-12-09 15:34:00,2.1,13136.0,United Kingdom
94300,544342,22633,missing,-53,2011-02-18 09:44:00,0.0,nan,United Kingdom
387479,C570290,22633,HAND WARMER UNION JACK,-12,2011-10-10 11:54:00,2.1,14665.0,United Kingdom
437426,C574291,22633,HAND WARMER UNION JACK,-1,2011-11-03 15:19:00,2.1,15290.0,United Kingdom
446815,C574922,22633,HAND WARMER UNION JACK,-6,2011-11-07 16:39:00,2.1,15502.0,United Kingdom
449040,C575081,22633,HAND WARMER UNION JACK,-1,2011-11-08 13:30:00,2.1,12483.0,Sweden
465419,C576231,22633,HAND WARMER UNION JACK,-1,2011-11-14 13:24:00,2.1,14868.0,United Kingdom
1441,C536543,22632,HAND WARMER RED RETROSPOT,-1,2010-12-01 14:30:00,2.1,17841.0,United Kingdom
44912,C540246,22632,HAND WARMER RED RETROSPOT,-1,2011-01-05 15:43:00,1.85,13081.0,United Kingdom
64321,541601,22632,missing,-84,2011-01-19 16:48:00,0.0,nan,United Kingdom
86889,C543611,22632,HAND WARMER RED RETROSPOT,-6,2011-02-10 14:38:00,1.85,17850.0,United Kingdom
95050,C544436,22632,HAND WARMER RED RETROSPOT,-1,2011-02-18 16:52:00,2.1,18172.0,United Kingdom
95449,C544458,22632,HAND WARMER RED RETROSPOT,-1,2011-02-20 13:48:00,2.1,14667.0,United Kingdom
397669,C571196,22632,HAND WARMER RED RETROSPOT,-12,2011-10-14 12:02:00,2.1,nan,United Kingdom
446816,C574922,22632,HAND WARMER RED RETROSPOT,-6,2011-11-07 16:39:00,2.1,15502.0,United Kingdom
501793,C578832,22632,HAND WARMER RED RETROSPOT,-1,2011-11-25 15:18:00,2.1,13069.0,United Kingdom
124922,C546997,84879,ASSORTED COLOUR BIRD ORNAMENT,-5,2011-03-18 13:32:00,1.69,12748.0,United Kingdom
133111,C547725,84879,ASSORTED COLOUR BIRD ORNAMENT,-8,2011-03-25 10:43:00,1.69,nan,United Kingdom
189299,553147,84879,damaged,-160,2011-05-13 13:58:00,0.0,nan,United Kingdom
199716,C554100,84879,ASSORTED COLOUR BIRD ORNAMENT,-1,2011-05-22 13:27:00,1.69,15555.0,United Kingdom
235924,C557663,84879,ASSORTED COLOUR BIRD ORNAMENT,-24,2011-06-21 17:59:00,1.69,nan,EIRE
258335,C559608,84879,ASSORTED COLOUR BIRD ORNAMENT,-1,2011-07-11 11:44:00,1.69,14690.0,United Kingdom
300629,C563207,84879,ASSORTED COLOUR BIRD ORNAMENT,-1,2011-08-14 12:10:00,1.69,17613.0,United Kingdom
343714,C566961,84879,ASSORTED COLOUR BIRD ORNAMENT,-1,2011-09-15 17:04:00,1.69,13319.0,United Kingdom
349806,C567532,84879,ASSORTED COLOUR BIRD ORNAMENT,-8,2011-09-21 09:44:00,1.69,15888.0,United Kingdom
353007,C567715,84879,ASSORTED COLOUR BIRD ORNAMENT,-7,2011-09-22 10:12:00,1.69,16160.0,United Kingdom
382990,C569985,84879,ASSORTED COLOUR BIRD ORNAMENT,-16,2011-10-06 19:51:00,1.69,15365.0,United Kingdom
396191,C571059,84879,ASSORTED COLOUR BIRD ORNAMENT,-7,2011-10-13 14:27:00,1.69,17813.0,United Kingdom
414725,C572478,84879,ASSORTED COLOUR BIRD ORNAMENT,-1,2011-10-24 13:39:00,1.69,13098.0,United Kingdom
41326,C539827,22745,POPPY'S PLAYHOUSE BEDROOM ,-1,2010-12-22 12:43:00,2.1,15044.0,United Kingdom
74442,C542426,22745,POPPY'S PLAYHOUSE BEDROOM ,-6,2011-01-28 09:32:00,2.1,14146.0,United Kingdom
171759,C551464,22745,POPPY'S PLAYHOUSE BEDROOM ,-6,2011-04-28 16:15:00,2.1,13085.0,United Kingdom
11512,C537251,22748,POPPY'S PLAYHOUSE KITCHEN,-4,2010-12-06 10:45:00,2.1,nan,United Kingdom
139803,C548355,22748,POPPY'S PLAYHOUSE KITCHEN,-6,2011-03-30 15:06:00,2.1,12921.0,United Kingdom
156886,C550181,22748,POPPY'S PLAYHOUSE KITCHEN,-1,2011-04-14 17:43:00,2.1,13069.0,United Kingdom
171763,C551464,22748,POPPY'S PLAYHOUSE KITCHEN,-6,2011-04-28 16:15:00,2.1,13085.0,United Kingdom
140191,C548374,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,-1,2011-03-30 16:36:00,4.25,13047.0,United Kingdom
142331,C548576,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,-1,2011-04-01 10:46:00,4.25,15696.0,United Kingdom
418091,572689,84969,check,-50,2011-10-25 14:13:00,0.0,nan,United Kingdom
29529,C538805,22623,BOX OF VINTAGE JIGSAW BLOCKS ,-6,2010-12-14 11:57:00,4.95,14708.0,United Kingdom
31019,C538889,22623,BOX OF VINTAGE JIGSAW BLOCKS ,-3,2010-12-14 16:24:00,4.95,12797.0,Portugal
47122,C540376,22623,BOX OF VINTAGE JIGSAW BLOCKS ,-1,2011-01-06 17:27:00,4.95,13488.0,United Kingdom
383013,C569985,22623,BOX OF VINTAGE JIGSAW BLOCKS ,-3,2011-10-06 19:51:00,5.95,15365.0,United Kingdom
516446,C579902,22623,BOX OF VINTAGE JIGSAW BLOCKS ,-3,2011-12-01 08:39:00,5.95,13365.0,United Kingdom
88802,C543818,22622,BOX OF VINTAGE ALPHABET BLOCKS,-2,2011-02-13 15:45:00,9.95,16897.0,United Kingdom
327641,C565681,22622,BOX OF VINTAGE ALPHABET BLOCKS,-2,2011-09-06 10:42:00,11.95,15521.0,United Kingdom
383014,C569985,22622,BOX OF VINTAGE ALPHABET BLOCKS,-2,2011-10-06 19:51:00,11.95,15365.0,United Kingdom
410291,C572102,22622,BOX OF VINTAGE ALPHABET BLOCKS,-1,2011-10-20 15:56:00,11.95,13519.0,United Kingdom
437428,C574291,22622,BOX OF VINTAGE ALPHABET BLOCKS,-6,2011-11-03 15:19:00,11.95,15290.0,United Kingdom
86983,C543627,21754,HOME BUILDING BLOCK WORD,-1,2011-02-10 15:50:00,5.95,15601.0,United Kingdom
98645,C544682,21754,HOME BUILDING BLOCK WORD,-1,2011-02-22 16:29:00,5.45,17511.0,United Kingdom
166980,C550962,21754,HOME BUILDING BLOCK WORD,-1,2011-04-21 16:42:00,5.95,14834.0,United Kingdom
175282,C551948,21754,HOME BUILDING BLOCK WORD,-1,2011-05-05 11:21:00,5.45,17511.0,United Kingdom
182563,C552556,21754,HOME BUILDING BLOCK WORD,-3,2011-05-10 11:21:00,5.95,17504.0,United Kingdom
214990,C555639,21754,HOME BUILDING BLOCK WORD,-1,2011-06-06 12:58:00,5.95,13458.0,United Kingdom
235945,C557663,21754,HOME BUILDING BLOCK WORD,-9,2011-06-21 17:59:00,5.95,nan,EIRE
296009,C562845,21754,HOME BUILDING BLOCK WORD,-1,2011-08-10 09:21:00,5.95,14903.0,United Kingdom
454399,C575572,21754,HOME BUILDING BLOCK WORD,-1,2011-11-10 11:33:00,6.25,17528.0,United Kingdom
455866,C575651,21754,HOME BUILDING BLOCK WORD,-1,2011-11-10 14:26:00,6.25,17653.0,United Kingdom
13265,C537431,21755,LOVE BUILDING BLOCK WORD,-1,2010-12-06 16:10:00,5.95,16782.0,United Kingdom
268333,C560409,21755,LOVE BUILDING BLOCK WORD,-3,2011-07-18 14:24:00,5.95,16717.0,United Kingdom
2406,536589,21777,missing,-10,2010-12-01 16:50:00,0.0,nan,United Kingdom
21702,C538112,21777,RECIPE BOX WITH METAL HEART,-3,2010-12-09 15:28:00,7.95,14898.0,United Kingdom
21750,C538119,21777,RECIPE BOX WITH METAL HEART,-2,2010-12-09 15:34:00,7.95,13136.0,United Kingdom
20513,C538059,48187,DOORMAT NEW ENGLAND,-2,2010-12-09 13:38:00,7.95,14205.0,United Kingdom
140745,C548460,48187,DOORMAT NEW ENGLAND,-2,2011-03-31 11:58:00,7.95,16801.0,United Kingdom
939,C536506,22960,JAM MAKING SET WITH JARS,-6,2010-12-01 12:38:00,4.25,17897.0,United Kingdom
13055,C537417,22960,JAM MAKING SET WITH JARS,-1,2010-12-06 15:12:00,4.25,13481.0,United Kingdom
19352,C537853,22960,JAM MAKING SET WITH JARS,-2,2010-12-08 15:57:00,4.25,13370.0,United Kingdom
29054,C538693,22960,JAM MAKING SET WITH JARS,-2,2010-12-14 09:59:00,4.25,16558.0,United Kingdom
29523,C538802,22960,JAM MAKING SET WITH JARS,-4,2010-12-14 11:54:00,4.25,17017.0,United Kingdom
33702,C539289,22960,JAM MAKING SET WITH JARS,-3,2010-12-16 16:30:00,4.25,18065.0,United Kingdom
43783,C540142,22960,JAM MAKING SET WITH JARS,-12,2011-01-05 10:50:00,3.75,12782.0,Portugal
54413,C540950,22960,JAM MAKING SET WITH JARS,-1,2011-01-12 12:51:00,4.25,18226.0,United Kingdom
58341,C541234,22960,JAM MAKING SET WITH JARS,-2,2011-01-14 17:11:00,3.75,13862.0,United Kingdom
66151,C541735,22960,JAM MAKING SET WITH JARS,-1,2011-01-21 11:35:00,4.25,12626.0,Germany
66828,C541821,22960,JAM MAKING SET WITH JARS,-2,2011-01-21 16:41:00,4.25,15281.0,United Kingdom
70654,C542091,22960,JAM MAKING SET WITH JARS,-1,2011-01-25 12:41:00,4.25,17091.0,United Kingdom
70867,C542104,22960,JAM MAKING SET WITH JARS,-2,2011-01-25 13:26:00,3.75,16191.0,United Kingdom
72413,C542244,22960,JAM MAKING SET WITH JARS,-1,2011-01-26 15:04:00,3.75,13098.0,United Kingdom
72880,C542270,22960,JAM MAKING SET WITH JARS,-1,2011-01-27 09:35:00,4.25,13050.0,United Kingdom
74139,C542402,22960,JAM MAKING SET WITH JARS,-2,2011-01-27 16:05:00,4.25,16124.0,United Kingdom
74277,C542413,22960,JAM MAKING SET WITH JARS,-4,2011-01-27 17:11:00,4.25,16923.0,United Kingdom
81154,C543112,22960,JAM MAKING SET WITH JARS,-3,2011-02-03 12:59:00,4.25,14133.0,United Kingdom
86984,C543628,22960,JAM MAKING SET WITH JARS,-1,2011-02-10 15:51:00,4.25,16558.0,United Kingdom
94801,C544414,22960,JAM MAKING SET WITH JARS,-2,2011-02-18 14:54:00,3.75,13408.0,United Kingdom
95048,C544435,22960,JAM MAKING SET WITH JARS,-2,2011-02-18 16:32:00,4.25,15122.0,United Kingdom
99101,C544696,22960,JAM MAKING SET WITH JARS,-6,2011-02-23 09:41:00,3.75,14735.0,United Kingdom
107523,C545453,22960,JAM MAKING SET WITH JARS,-1,2011-03-02 16:57:00,4.25,14639.0,United Kingdom
108192,C545516,22960,JAM MAKING SET WITH JARS,-1,2011-03-03 12:11:00,4.25,14276.0,United Kingdom
111506,C545723,22960,JAM MAKING SET WITH JARS,-1,2011-03-07 11:16:00,4.25,17048.0,United Kingdom
122200,C546854,22960,JAM MAKING SET WITH JARS,-1,2011-03-17 13:55:00,3.75,17511.0,United Kingdom
140754,C548460,22960,JAM MAKING SET WITH JARS,-6,2011-03-31 11:58:00,4.25,16801.0,United Kingdom
144093,C548722,22960,JAM MAKING SET WITH JARS,-2,2011-04-04 09:00:00,4.25,13481.0,United Kingdom
144534,C548748,22960,JAM MAKING SET WITH JARS,-6,2011-04-04 12:28:00,4.25,15223.0,United Kingdom
148086,C549162,22960,JAM MAKING SET WITH JARS,-1,2011-04-06 17:16:00,4.25,17438.0,United Kingdom
152574,C549666,22960,JAM MAKING SET WITH JARS,-1,2011-04-11 12:17:00,4.25,13113.0,United Kingdom
153652,C549783,22960,JAM MAKING SET WITH JARS,-1,2011-04-12 11:50:00,4.25,16558.0,United Kingdom
153686,C549788,22960,JAM MAKING SET WITH JARS,-2,2011-04-12 11:59:00,4.25,13098.0,United Kingdom
156806,C550170,22960,JAM MAKING SET WITH JARS,-3,2011-04-14 16:43:00,4.25,17017.0,United Kingdom
164497,C550647,22960,JAM MAKING SET WITH JARS,-6,2011-04-19 16:33:00,4.25,13134.0,United Kingdom
165550,C550808,22960,JAM MAKING SET WITH JARS,-1,2011-04-20 15:57:00,4.25,14323.0,United Kingdom
166967,C550959,22960,JAM MAKING SET WITH JARS,-1,2011-04-21 16:38:00,4.25,15594.0,United Kingdom
170566,C551336,22960,JAM MAKING SET WITH JARS,-1,2011-04-27 16:53:00,4.25,13993.0,United Kingdom
174952,C551861,22960,JAM MAKING SET WITH JARS,-1,2011-05-04 15:44:00,4.25,12840.0,United Kingdom
196935,C553877,22960,JAM MAKING SET WITH JARS,-2,2011-05-19 14:47:00,4.25,13319.0,United Kingdom
201891,C554340,22960,JAM MAKING SET WITH JARS,-3,2011-05-23 17:40:00,3.75,17017.0,United Kingdom
204695,C554692,22960,JAM MAKING SET WITH JARS,-1,2011-05-25 16:57:00,4.25,12935.0,United Kingdom
206081,C554863,22960,JAM MAKING SET WITH JARS,-1,2011-05-27 10:35:00,4.25,15660.0,United Kingdom
206084,C554864,22960,JAM MAKING SET WITH JARS,-1,2011-05-27 10:36:00,4.25,15122.0,United Kingdom
206130,C554871,22960,JAM MAKING SET WITH JARS,-2,2011-05-27 10:58:00,4.25,18225.0,United Kingdom
221924,C556294,22960,JAM MAKING SET WITH JARS,-2,2011-06-10 09:34:00,4.25,15108.0,European Community
233031,C557411,22960,JAM MAKING SET WITH JARS,-6,2011-06-20 11:37:00,4.25,13343.0,United Kingdom
234362,C557505,22960,JAM MAKING SET WITH JARS,-5,2011-06-20 16:05:00,3.75,17490.0,United Kingdom
237718,C557879,22960,JAM MAKING SET WITH JARS,-1,2011-06-23 13:15:00,4.25,14911.0,EIRE
242607,C558364,22960,JAM MAKING SET WITH JARS,-1,2011-06-28 15:20:00,8.29,nan,United Kingdom
253829,C559175,22960,JAM MAKING SET WITH JARS,-11,2011-07-07 10:17:00,4.25,12507.0,Spain
259824,C559742,22960,JAM MAKING SET WITH JARS,-12,2011-07-12 11:11:00,3.75,14267.0,United Kingdom
281670,C561589,22960,JAM MAKING SET WITH JARS,-1,2011-07-28 10:57:00,4.25,16133.0,United Kingdom
286119,C562022,22960,JAM MAKING SET WITH JARS,-2,2011-08-01 15:39:00,3.75,17389.0,United Kingdom
299548,C563107,22960,JAM MAKING SET WITH JARS,-1,2011-08-12 10:17:00,3.75,12709.0,Germany
310869,C564215,22960,JAM MAKING SET WITH JARS,-1,2011-08-24 09:22:00,4.25,16133.0,United Kingdom
317311,C564759,22960,JAM MAKING SET WITH JARS,-1,2011-08-30 10:40:00,4.25,14911.0,EIRE
319894,C564913,22960,JAM MAKING SET WITH JARS,-1,2011-08-31 12:39:00,4.25,12560.0,Germany
337786,C566474,22960,JAM MAKING SET WITH JARS,-1,2011-09-12 18:26:00,4.25,15136.0,United Kingdom
343800,C566970,22960,JAM MAKING SET WITH JARS,-2,2011-09-16 08:51:00,4.25,13993.0,United Kingdom
344588,C567091,22960,JAM MAKING SET WITH JARS,-6,2011-09-16 12:45:00,4.25,12513.0,France
347950,C567355,22960,JAM MAKING SET WITH JARS,-1,2011-09-19 16:16:00,4.25,15764.0,United Kingdom
347965,C567357,22960,JAM MAKING SET WITH JARS,-1,2011-09-19 16:23:00,4.25,16211.0,United Kingdom
361948,C568395,22960,JAM MAKING SET WITH JARS,-1,2011-09-27 10:21:00,4.25,17480.0,United Kingdom
378243,C569636,22960,JAM MAKING SET WITH JARS,-2,2011-10-05 12:14:00,4.25,12841.0,United Kingdom
382788,C569949,22960,JAM MAKING SET WITH JARS,-1,2011-10-06 18:27:00,4.25,12584.0,Italy
382813,C569961,22960,JAM MAKING SET WITH JARS,-3,2011-10-06 18:44:00,4.25,13704.0,United Kingdom
383006,C569985,22960,JAM MAKING SET WITH JARS,-6,2011-10-06 19:51:00,4.25,15365.0,United Kingdom
383031,C569989,22960,JAM MAKING SET WITH JARS,-10,2011-10-06 20:08:00,3.75,16839.0,United Kingdom
383058,C569994,22960,JAM MAKING SET WITH JARS,-10,2011-10-06 20:33:00,3.75,15606.0,United Kingdom
383073,C569995,22960,JAM MAKING SET WITH JARS,-12,2011-10-06 20:36:00,3.75,14557.0,United Kingdom
385932,C570221,22960,JAM MAKING SET WITH JARS,-1,2011-10-09 12:56:00,4.25,13113.0,United Kingdom
394936,C570889,22960,JAM MAKING SET WITH JARS,-1,2011-10-13 10:49:00,4.25,13954.0,United Kingdom
396483,C571066,22960,JAM MAKING SET WITH JARS,-1,2011-10-13 15:05:00,3.75,12709.0,Germany
415314,C572532,22960,JAM MAKING SET WITH JARS,-1,2011-10-24 16:03:00,4.25,12380.0,Belgium
